cliente,Razão Social,CNPJ,Data emissão,Vencimento líquido,Produto,Nº Nota Fiscal,Status Boleto,Valor Original (por produto),Montante de imposto,Juros,Multa,Valor Total (nota),Link  NFS-e,Link  Boleto,Qtde Transação
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-03-27 00:00:00,2024-04-04 00:00:00,Pagador,67231,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=528X.0779.0731.6961599-X&numdoc=28581358000174,"",74
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-03-14 00:00:00,2024-04-02 00:00:00,AntiFraude,66578,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=163X.2263.7882.1895999-S&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-02-28 00:00:00,2024-03-14 00:00:00,Velocity Check,65438,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=198W.4527.3271.0097799-X&numdoc=24808490000115,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-02-28 00:00:00,2024-03-11 00:00:00,Velocity Check,65439,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204N.6245.7181.5505899-T&numdoc=26669170000157,"",14097
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-02-28 00:00:00,2024-03-11 00:00:00,Pagador,65563,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=419G.8536.3619.0523699-Y&numdoc=28581358000174,"",33
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-02-28 00:00:00,2024-03-07 00:00:00,Pagador,65560,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=166G.0629.7211.6158899-V&numdoc=28589883000136,"",39
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-02-27 00:00:00,2024-03-06 00:00:00,Cartão Protegido,65112,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=136J.0750.6346.2521099-V&numdoc=28589883000136,"",9
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-02-16 00:00:00,2024-03-05 00:00:00,AntiFraude,64893,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=124S.4177.3289.2025199-T&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-01-30 00:00:00,2024-02-14 00:00:00,Velocity Check,63406,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=114Q.0686.2611.9196299-T&numdoc=24808490000115,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-01-30 00:00:00,2024-02-07 00:00:00,Pagador,63405,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=686V.9271.1310.1226899-B&numdoc=26669170000157,"",1
