cliente,Razão Social,CNPJ,Data emissão,Vencimento líquido,Produto,Nº Nota Fiscal,Status Boleto,Valor Original (por produto),Montante de imposto,Juros,Multa,Valor Total (nota),Link  NFS-e,Link  Boleto,Qtde Transação
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-02-26 00:00:00,2026-03-13 00:00:00,Pagador,107918,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=168Q.6746.2717.5677399-X&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-02-26 00:00:00,2026-03-13 00:00:00,Velocity Check,107856,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=551R.6153.2624.9472799-Q&numdoc=26669170000157,"",29753
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-02-26 00:00:00,2026-03-13 00:00:00,Cartão Protegido,107799,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=148U.4654.2951.8472699-X&numdoc=28589883000136,"",10
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-02-26 00:00:00,2026-03-13 00:00:00,Pagador,107980,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=190U.5991.5551.1364499-Z&numdoc=28589883000136,"",56
5661,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2026-02-26 00:00:00,2026-03-13 00:00:00,Pagador,108020,Pendente,100.24,0,5.01,2,107.25,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=601W.0109.1677.8175199-Q&numdoc=28581358000174,https://www.pagador.com.br/post/pagador/reenvia.asp/8108fda1-4df7-4273-bef9-2cb81792581f,1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-01-29 00:00:00,2026-02-13 00:00:00,Pagador,105725,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=182H.0333.7629.7566799-R&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2026-01-29 00:00:00,2026-02-13 00:00:00,Velocity Check,105690,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=145Y.1292.6391.3292099-U&numdoc=26669170000157,"",47875
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-01-29 00:00:00,2026-02-13 00:00:00,Cartão Protegido,105664,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=188W.2826.4876.2741199-X&numdoc=28589883000136,"",4
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2026-01-29 00:00:00,2026-02-13 00:00:00,Pagador,105756,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=678S.6851.4133.8339999-D&numdoc=28589883000136,"",20
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2026-01-29 00:00:00,2026-02-13 00:00:00,Pagador,105779,Compensando,100.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=255Q.8192.1411.7119699-U&numdoc=28581358000174,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-12-29 00:00:00,2026-01-13 00:00:00,Pagador,103656,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=109S.1188.8981.9526699-Y&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-12-29 00:00:00,2026-01-13 00:00:00,Velocity Check,103597,Compensando,5545.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=913V.6758.5260.6435799-X&numdoc=26669170000157,"",67679
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-12-29 00:00:00,2026-01-13 00:00:00,Cartão Protegido,103547,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=117S.0345.8135.4734399-W&numdoc=28589883000136,"",6
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-12-29 00:00:00,2026-01-13 00:00:00,Pagador,103716,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=202Y.1140.8091.7270099-R&numdoc=28589883000136,"",68
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-12-29 00:00:00,2026-01-13 00:00:00,Pagador,103757,Compensando,100.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=212U.8808.2752.1341799-R&numdoc=28581358000174,"",1
6299,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-12-29 00:00:00,2026-01-13 00:00:00,3DS 2.0,103517,Pendente,132.65,0,9.08,2.65,144.38,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=167S.1918.3434.4931099-W&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/c289a14e-fdd7-405f-b46b-6486278991bf,1
6299,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-12-29 00:00:00,2026-01-13 00:00:00,Pagador,103825,Pendente,1387.76,0,104.42,27.76,1519.94,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=108A.1553.1751.4153799-X&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/c22566fd-c607-4add-ab09-cbc9ef1b4f61,1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-11-26 00:00:00,2025-12-11 00:00:00,Pagador,101641,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=198Y.5995.2491.7352699-X&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-11-26 00:00:00,2025-12-11 00:00:00,Velocity Check,101587,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=549Y.5204.9994.5745499-Y&numdoc=26669170000157,"",18990
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-11-26 00:00:00,2025-12-11 00:00:00,Cartão Protegido,101542,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=638X.7958.3234.6562699-D&numdoc=28589883000136,"",6
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-11-26 00:00:00,2025-12-11 00:00:00,Pagador,101693,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=177W.1040.8977.9401999-W&numdoc=28589883000136,"",82
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-11-26 00:00:00,2025-12-11 00:00:00,Pagador,101731,Compensando,100.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=968T.3254.2549.5218399-S&numdoc=28581358000174,"",1
6299,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-11-26 00:00:00,2025-12-11 00:00:00,3DS 2.0,101515,Pendente,132.65,0,10.36,2.65,145.66,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=163V.0266.6561.3608599-S&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/61824e64-939f-407f-9613-7bfe8fc6c45c,1
6299,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-11-26 00:00:00,2025-12-11 00:00:00,Pagador,101793,Pendente,4164.17,0,360.01,83.28,4607.46,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=179I.4605.4932.1468499-Y&numdoc=24184468000141,https://www.pagador.com.br/post/pagador/reenvia.asp/d3909e0b-4130-4ae1-bfcf-e72c92185247,7036
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-10-29 00:00:00,2025-11-14 00:00:00,Cartão Protegido,99542,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=664R.3757.0424.0315299-T&numdoc=28589883000136,"",13
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-10-29 00:00:00,2025-11-13 00:00:00,Pagador,99692,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=153S.6216.1031.5694499-S&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-10-29 00:00:00,2025-11-13 00:00:00,Velocity Check,99609,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=108I.0791.6931.7150399-X&numdoc=26669170000157,"",4953
,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-10-29 00:00:00,2025-11-13 00:00:00,3DS 2.0,99507,Compensando,132.65,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=525R.6299.0821.4159499-U&numdoc=24184468000141,"",1
,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-10-29 00:00:00,2025-11-13 00:00:00,Pagador,99927,Compensando,3388.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=907Q.8039.7617.6847999-R&numdoc=24184468000141,"",4884
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-10-29 00:00:00,2025-11-13 00:00:00,Pagador,99778,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=402Q.2535.9913.3255799-R&numdoc=28589883000136,"",73
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-10-29 00:00:00,2025-11-13 00:00:00,Pagador,99835,Compensando,100.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=172L.5245.0161.1883599-R&numdoc=28581358000174,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-09-29 00:00:00,2025-10-14 00:00:00,Pagador,97823,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=290T.8945.2891.5507099-Z&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-09-29 00:00:00,2025-10-14 00:00:00,Velocity Check,97694,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=210Y.3357.2099.0054299-Z&numdoc=26669170000157,"",4979
,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-09-29 00:00:00,2025-10-14 00:00:00,3DS 2.0,97525,Compensando,132.65,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=267G.5691.5212.3487499-W&numdoc=24184468000141,"",1
,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-09-29 00:00:00,2025-10-14 00:00:00,Pagador,98175,Compensando,1790.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=131Q.6973.2012.0104899-Q&numdoc=24184468000141,"",2581
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-09-29 00:00:00,2025-10-14 00:00:00,Cartão Protegido,97581,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=182Q.7220.6413.0220999-R&numdoc=28589883000136,"",11
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-09-29 00:00:00,2025-10-14 00:00:00,Pagador,97951,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=471V.3994.4011.3169499-Q&numdoc=28589883000136,"",59
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-09-29 00:00:00,2025-10-14 00:00:00,Pagador,98038,Compensando,98.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=389M.4689.0174.2737099-Y&numdoc=28581358000174,"",1
,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-08-29 00:00:00,2025-10-13 00:00:00,3DS 2.0,96823,Compensando,88.44,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=870W.7444.2379.6775399-P&numdoc=24184468000141,"",1
,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-08-29 00:00:00,2025-10-13 00:00:00,Pagador,96823,Compensando,925.17,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=870W.7444.2379.6775399-P&numdoc=24184468000141,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-08-28 00:00:00,2025-09-15 00:00:00,Velocity Check,95783,Compensando,4102.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=202X.0206.3885.5485499-R&numdoc=26669170000157,"",6451
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-08-28 00:00:00,2025-09-15 00:00:00,Pagador,95983,Compensando,98.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=130Y.5918.8498.5070299-Z&numdoc=28581358000174,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-08-28 00:00:00,2025-09-12 00:00:00,Pagador,95847,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=119Q.7357.8613.9679799-Y&numdoc=26669170000157,"",1
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-08-28 00:00:00,2025-09-12 00:00:00,Cartão Protegido,95714,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=191U.1556.0451.7225599-Q&numdoc=28589883000136,"",11
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-08-28 00:00:00,2025-09-12 00:00:00,Pagador,95921,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=264U.1244.9359.6323299-T&numdoc=28589883000136,"",69
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-07-30 00:00:00,2025-08-22 00:00:00,Pagador,94182,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=691Q.9456.3616.9610799-Q&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-07-30 00:00:00,2025-08-22 00:00:00,Velocity Check,94111,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=128Z.0972.4701.7305599-X&numdoc=26669170000157,"",7113
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-07-30 00:00:00,2025-08-15 00:00:00,Cartão Protegido,94030,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=149Y.8210.4091.3302899-Y&numdoc=28589883000136,"",5
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-07-30 00:00:00,2025-08-15 00:00:00,Pagador,94264,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=174Y.8860.2194.1235599-T&numdoc=28589883000136,"",41
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-07-30 00:00:00,2025-08-14 00:00:00,Pagador,94334,Compensando,98.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=293Q.9462.2113.2111199-S&numdoc=28581358000174,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-06-27 00:00:00,2025-07-12 00:00:00,Pagador,92194,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=137V.5656.0561.3258699-W&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-06-27 00:00:00,2025-07-12 00:00:00,Velocity Check,92079,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=300T.8366.7144.3213599-Z&numdoc=26669170000157,"",5734
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-06-27 00:00:00,2025-07-12 00:00:00,Cartão Protegido,91989,Compensando,42.08,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=652Y.1009.7598.3750899-R&numdoc=28589883000136,"",12
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-06-27 00:00:00,2025-07-12 00:00:00,Pagador,92313,Compensando,104.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=164Z.9227.5807.5587599-T&numdoc=28589883000136,"",91
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-06-27 00:00:00,2025-07-12 00:00:00,Pagador,92389,Compensando,98.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204R.3478.9322.8089699-T&numdoc=28581358000174,"",1
,1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-06-26 00:00:00,2025-07-06 00:00:00,Setup,91890,Compensando,2040.82,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204T.0936.1341.1608699-T&numdoc=24184468000141,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-05-29 00:00:00,2025-06-16 00:00:00,Pagador,90385,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=557Q.9635.2811.9880299-W&numdoc=26669170000157,"",1
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-05-29 00:00:00,2025-06-16 00:00:00,Pagador,90550,Compensando,98.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=153W.0780.8871.4456899-S&numdoc=28581358000174,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-05-29 00:00:00,2025-06-13 00:00:00,Velocity Check,90287,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=914R.8035.0320.0662899-Y&numdoc=26669170000157,"",14270
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-05-29 00:00:00,2025-06-13 00:00:00,Cartão Protegido,90208,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=118O.8513.2791.3116199-X&numdoc=28589883000136,"",6
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-05-29 00:00:00,2025-06-13 00:00:00,Pagador,90482,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=208O.0920.7691.3101399-X&numdoc=28589883000136,"",55
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-04-29 00:00:00,2025-05-14 00:00:00,Pagador,88526,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=184N.0597.5986.2113699-T&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-04-29 00:00:00,2025-05-14 00:00:00,Velocity Check,88491,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=883R.0131.7129.6685799-S&numdoc=26669170000157,"",26511
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-04-29 00:00:00,2025-05-14 00:00:00,Cartão Protegido,88467,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=742Q.6352.2015.1528999-H&numdoc=28589883000136,"",10
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-04-29 00:00:00,2025-05-14 00:00:00,Pagador,88549,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=781V.0155.9114.0268599-G&numdoc=28589883000136,"",72
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-04-29 00:00:00,2025-05-14 00:00:00,Pagador,88568,Compensando,98.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=118R.1001.7926.1035599-X&numdoc=28581358000174,"",1
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-03-27 00:00:00,2025-04-14 00:00:00,Pagador,86982,Compensando,98.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=585T.0246.8696.9230099-U&numdoc=28581358000174,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-03-27 00:00:00,2025-04-11 00:00:00,Pagador,86910,Compensando,5048.24,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=197T.9804.6042.7788299-W&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-03-27 00:00:00,2025-04-11 00:00:00,Velocity Check,86857,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=184W.1135.1872.9933299-T&numdoc=26669170000157,"",13770
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-03-27 00:00:00,2025-04-11 00:00:00,Cartão Protegido,86818,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=224R.6417.2820.2595399-T&numdoc=28589883000136,"",6
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-03-27 00:00:00,2025-04-11 00:00:00,Pagador,86953,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=245Q.8752.8814.2400599-U&numdoc=28589883000136,"",61
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-02-27 00:00:00,2025-03-10 00:00:00,Pagador,85658,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=801U.4083.5755.8680099-Q&numdoc=26669170000157,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-02-27 00:00:00,2025-03-10 00:00:00,Velocity Check,85192,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=672V.8581.8261.8037199-R&numdoc=26669170000157,"",26378
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-02-27 00:00:00,2025-03-10 00:00:00,Cartão Protegido,85156,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=103R.8186.9322.9208199-S&numdoc=28589883000136,"",10
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-02-27 00:00:00,2025-03-10 00:00:00,Pagador,85769,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=211R.0883.3528.9878399-Q&numdoc=28589883000136,"",69
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-02-27 00:00:00,2025-03-10 00:00:00,Pagador,85843,Compensando,98.66,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=571V.2079.1313.4064199-Q&numdoc=28581358000174,"",53
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-01-29 00:00:00,2025-02-07 00:00:00,Velocity Check,83552,Compensando,3989.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=311X.6325.0180.1336199-Q&numdoc=26669170000157,"",24755
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-01-29 00:00:00,2025-02-07 00:00:00,Pagador,83681,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=160Q.5989.5012.1329899-Z&numdoc=28589883000136,"",63
