Razão Social,CNPJ,Data Emissão,Data Vencimento,Nº Nota Fiscal,Produto,Status,Valor original,Imposto retido,Juros,Multa,Valor atualizado,Link  NFS-e,Link  Boleto,Status Boleto,Qtde Transação
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-07-27 00:00:00,2023-08-04 00:00:00,53169,Pagador,,"R$ 66,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=116U.3365.5551.7616499-V&numdoc=26669170000157,"",Compensando,                235
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-07-27 00:00:00,2023-08-04 00:00:00,53169,Pagador,,"R$ 45228,45",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=116U.3365.5551.7616499-V&numdoc=26669170000157,"",Compensando,            160.014
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-07-19 00:00:00,2023-08-03 00:00:00,52953,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=976W.6155.7276.7879199-Q&numdoc=24808490000115,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-06-28 00:00:00,2023-07-06 00:00:00,51351,Velocity Check,,"R$ 3826,53","R$ 0,00","R$ 1224,96","R$ 76,53","R$ 5128,02",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=139Y.3820.4044.7218899-Y&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/94fd8490-6ff3-4004-9998-c99c2b7c0bbd,Pendente,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-06-28 00:00:00,2023-07-06 00:00:00,51356,Pagador,,"R$ 27,98","R$ 0,00","R$ 18900,75","R$ 1185,27","R$ 79349,32",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=318Q.9587.3711.4838899-X&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/6c4da71f-83a5-4e7a-a0e6-7711b8da70c8,Pendente,                 99
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-06-28 00:00:00,2023-07-06 00:00:00,51356,Pagador,,"R$ 59235,32","R$ 0,00","R$ 18900,75","R$ 1185,27","R$ 79349,32",https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=318Q.9587.3711.4838899-X&numdoc=26669170000157,https://www.pagador.com.br/post/pagador/reenvia.asp/6c4da71f-83a5-4e7a-a0e6-7711b8da70c8,Pendente,            209.569
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-06-21 00:00:00,2023-07-06 00:00:00,51275,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=179S.6845.3132.6578099-Y&numdoc=24808490000115,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-06-28 00:00:00,2023-07-06 00:00:00,51347,Cartão Protegido,,"R$ 39,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=193Z.6134.6851.2292699-S&numdoc=28589883000136,"",Compensando,                  9
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-06-28 00:00:00,2023-07-06 00:00:00,51359,Pagador,,"R$ 97,26",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=237R.2398.7376.2487699-W&numdoc=28589883000136,"",Compensando,                130
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-05-22 00:00:00,2023-06-06 00:00:00,49347,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=311Q.8832.3418.7025499-Q&numdoc=24808490000115,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-05-09 00:00:00,2023-05-17 00:00:00,49137,Velocity Check,,"R$ 11270,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=152I.9248.5231.4482299-R&numdoc=26669170000157,"",Compensando,                  1
