Razão Social,CNPJ,Data Emissão,Data Vencimento,Nº Nota Fiscal,Produto,Status,Valor original,Imposto retido,Juros,Multa,Valor atualizado,Link  NFS-e,Link  Boleto,Status Boleto,Qtde Transação
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-09-29 00:00:00,2025-10-14 00:00:00,97525,3DS 2.0,,"R$ 132,65",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=267G.5691.5212.3487499-W&numdoc=24184468000141,"",Compensando,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-09-29 00:00:00,2025-10-14 00:00:00,98175,Pagador,,"R$ 1790,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=131Q.6973.2012.0104899-Q&numdoc=24184468000141,"",Compensando,              2.581
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-09-29 00:00:00,2025-10-14 00:00:00,97581,Cartão Protegido,,"R$ 42,08",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=182Q.7220.6413.0220999-R&numdoc=28589883000136,"",Compensando,                 11
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-09-29 00:00:00,2025-10-14 00:00:00,97951,Pagador,,"R$ 104,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=471V.3994.4011.3169499-Q&numdoc=28589883000136,"",Compensando,                 59
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-09-29 00:00:00,2025-10-14 00:00:00,98038,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=389M.4689.0174.2737099-Y&numdoc=28581358000174,"",Compensando,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-08-29 00:00:00,2025-09-13 00:00:00,96823,3DS 2.0,,"R$ 88,44",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=870W.7444.2379.6775399-P&numdoc=24184468000141,"",Compensando,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-08-29 00:00:00,2025-09-13 00:00:00,96823,Pagador,,"R$ 925,17",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=870W.7444.2379.6775399-P&numdoc=24184468000141,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-08-28 00:00:00,2025-09-12 00:00:00,95783,Velocity Check,,"R$ 4102,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=202X.0206.3885.5485499-R&numdoc=26669170000157,"",Compensando,              6.451
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-08-28 00:00:00,2025-09-12 00:00:00,95847,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=119Q.7357.8613.9679799-Y&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-08-28 00:00:00,2025-09-12 00:00:00,95714,Cartão Protegido,,"R$ 42,08",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=191U.1556.0451.7225599-Q&numdoc=28589883000136,"",Compensando,                 11
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-08-28 00:00:00,2025-09-12 00:00:00,95921,Pagador,,"R$ 104,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=264U.1244.9359.6323299-T&numdoc=28589883000136,"",Compensando,                 69
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-08-28 00:00:00,2025-09-12 00:00:00,95983,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=130Y.5918.8498.5070299-Z&numdoc=28581358000174,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-07-30 00:00:00,2025-08-14 00:00:00,94111,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=128Z.0972.4701.7305599-X&numdoc=26669170000157,"",Compensando,              7.113
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-07-30 00:00:00,2025-08-14 00:00:00,94182,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=691Q.9456.3616.9610799-Q&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-07-30 00:00:00,2025-08-14 00:00:00,94030,Cartão Protegido,,"R$ 42,08",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=149Y.8210.4091.3302899-Y&numdoc=28589883000136,"",Compensando,                  5
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-07-30 00:00:00,2025-08-14 00:00:00,94264,Pagador,,"R$ 104,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=174Y.8860.2194.1235599-T&numdoc=28589883000136,"",Compensando,                 41
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-07-30 00:00:00,2025-08-14 00:00:00,94334,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=293Q.9462.2113.2111199-S&numdoc=28581358000174,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-06-27 00:00:00,2025-07-12 00:00:00,92079,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=300T.8366.7144.3213599-Z&numdoc=26669170000157,"",Compensando,              5.734
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-06-27 00:00:00,2025-07-12 00:00:00,92194,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=137V.5656.0561.3258699-W&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-06-27 00:00:00,2025-07-12 00:00:00,91989,Cartão Protegido,,"R$ 42,08",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=652Y.1009.7598.3750899-R&numdoc=28589883000136,"",Compensando,                 12
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-06-27 00:00:00,2025-07-12 00:00:00,92313,Pagador,,"R$ 104,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=164Z.9227.5807.5587599-T&numdoc=28589883000136,"",Compensando,                 91
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-06-27 00:00:00,2025-07-12 00:00:00,92389,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204R.3478.9322.8089699-T&numdoc=28581358000174,"",Compensando,                  1
1NCRIVEL SISTEMAS LTDA,24.184.468/0001-41,2025-06-26 00:00:00,2025-07-06 00:00:00,91890,Setup,,"R$ 2040,82",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204T.0936.1341.1608699-T&numdoc=24184468000141,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-05-29 00:00:00,2025-06-13 00:00:00,90287,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=914R.8035.0320.0662899-Y&numdoc=26669170000157,"",Compensando,             14.270
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-05-29 00:00:00,2025-06-13 00:00:00,90385,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=557Q.9635.2811.9880299-W&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-05-29 00:00:00,2025-06-13 00:00:00,90208,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=118O.8513.2791.3116199-X&numdoc=28589883000136,"",Compensando,                  6
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-05-29 00:00:00,2025-06-13 00:00:00,90482,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=208O.0920.7691.3101399-X&numdoc=28589883000136,"",Compensando,                 55
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-05-29 00:00:00,2025-06-13 00:00:00,90550,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=153W.0780.8871.4456899-S&numdoc=28581358000174,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-04-29 00:00:00,2025-05-14 00:00:00,88491,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=883R.0131.7129.6685799-S&numdoc=26669170000157,"",Compensando,             26.511
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-04-29 00:00:00,2025-05-14 00:00:00,88526,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=184N.0597.5986.2113699-T&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-04-29 00:00:00,2025-05-14 00:00:00,88467,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=742Q.6352.2015.1528999-H&numdoc=28589883000136,"",Compensando,                 10
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-04-29 00:00:00,2025-05-14 00:00:00,88549,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=781V.0155.9114.0268599-G&numdoc=28589883000136,"",Compensando,                 72
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-04-29 00:00:00,2025-05-14 00:00:00,88568,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=118R.1001.7926.1035599-X&numdoc=28581358000174,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-03-27 00:00:00,2025-04-11 00:00:00,86857,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=184W.1135.1872.9933299-T&numdoc=26669170000157,"",Compensando,             13.770
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-03-27 00:00:00,2025-04-11 00:00:00,86910,Pagador,,"R$ 5048,24",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=197T.9804.6042.7788299-W&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-03-27 00:00:00,2025-04-11 00:00:00,86818,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=224R.6417.2820.2595399-T&numdoc=28589883000136,"",Compensando,                  6
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-03-27 00:00:00,2025-04-11 00:00:00,86953,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=245Q.8752.8814.2400599-U&numdoc=28589883000136,"",Compensando,                 61
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-03-27 00:00:00,2025-04-11 00:00:00,86982,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=585T.0246.8696.9230099-U&numdoc=28581358000174,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-02-27 00:00:00,2025-03-07 00:00:00,85192,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=672V.8581.8261.8037199-R&numdoc=26669170000157,"",Compensando,             26.378
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-02-27 00:00:00,2025-03-07 00:00:00,85658,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=801U.4083.5755.8680099-Q&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-02-27 00:00:00,2025-03-07 00:00:00,85156,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=103R.8186.9322.9208199-S&numdoc=28589883000136,"",Compensando,                 10
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-02-27 00:00:00,2025-03-07 00:00:00,85769,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=211R.0883.3528.9878399-Q&numdoc=28589883000136,"",Compensando,                 69
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-02-27 00:00:00,2025-03-07 00:00:00,85843,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=571V.2079.1313.4064199-Q&numdoc=28581358000174,"",Compensando,                 53
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-01-29 00:00:00,2025-02-06 00:00:00,83552,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=311X.6325.0180.1336199-Q&numdoc=26669170000157,"",Compensando,             24.755
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2025-01-29 00:00:00,2025-02-06 00:00:00,83671,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=594Q.0023.1216.0003699-T&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-01-29 00:00:00,2025-02-06 00:00:00,83659,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=199R.8803.1021.7561199-Y&numdoc=28589883000136,"",Compensando,                  4
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2025-01-29 00:00:00,2025-02-06 00:00:00,83681,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=160Q.5989.5012.1329899-Z&numdoc=28589883000136,"",Compensando,                 63
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2025-01-29 00:00:00,2025-02-06 00:00:00,83691,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=121S.4881.3331.9698499-Q&numdoc=28581358000174,"",Compensando,                109
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-12-30 00:00:00,2025-01-07 00:00:00,81843,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=288Q.0144.6511.9530699-X&numdoc=26669170000157,"",Compensando,             27.087
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-12-30 00:00:00,2025-01-07 00:00:00,81860,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=417T.1496.9848.3795399-W&numdoc=26669170000157,"",Compensando,                  4
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-12-30 00:00:00,2025-01-07 00:00:00,81833,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=180V.1563.3562.1143099-Z&numdoc=28589883000136,"",Compensando,                  9
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-12-30 00:00:00,2025-01-07 00:00:00,81871,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=194Q.3630.4211.4503999-T&numdoc=28589883000136,"",Compensando,                 97
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-12-30 00:00:00,2025-01-07 00:00:00,81879,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=541X.3436.4888.0538599-Q&numdoc=28581358000174,"",Compensando,                 84
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-11-28 00:00:00,2024-12-06 00:00:00,80266,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=161T.0135.9142.0835899-Q&numdoc=26669170000157,"",Compensando,             19.613
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-11-28 00:00:00,2024-12-06 00:00:00,80282,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=169W.8084.6873.5843299-Y&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-11-28 00:00:00,2024-12-06 00:00:00,80259,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=764S.3662.0633.7555199-J&numdoc=28589883000136,"",Compensando,                 19
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-11-28 00:00:00,2024-12-06 00:00:00,80293,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=915Q.8984.3815.2223699-Z&numdoc=28589883000136,"",Compensando,                122
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-11-28 00:00:00,2024-12-06 00:00:00,80301,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=128Z.4422.7707.4547899-X&numdoc=28581358000174,"",Compensando,                 54
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-10-30 00:00:00,2024-11-07 00:00:00,78809,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=427R.1164.6927.4856199-W&numdoc=26669170000157,"",Compensando,              9.979
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-10-30 00:00:00,2024-11-07 00:00:00,78821,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=225V.9949.9217.0831699-U&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-10-30 00:00:00,2024-11-07 00:00:00,78979,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=821O.5899.4899.3131399-Q&numdoc=28589883000136,"",Compensando,                 10
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-10-30 00:00:00,2024-11-07 00:00:00,79009,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=563U.5462.9152.5826299-S&numdoc=28589883000136,"",Compensando,                 66
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-10-30 00:00:00,2024-11-07 00:00:00,79373,Pagador,,"R$ 98,66",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=458R.0894.5220.6087799-X&numdoc=28581358000174,"",Compensando,                 59
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-09-30 00:00:00,2024-10-18 00:00:00,57045,Velocity Check,,"R$ 3826,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=608T.6089.5546.1294699-D&numdoc=26669170000157,"",Compensando,             33.166
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-09-30 00:00:00,2024-10-18 00:00:00,57092,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=181U.7173.2151.7790299-Q&numdoc=26669170000157,"",Compensando,              4.949
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-11-29 00:00:00,2024-10-18 00:00:00,60528,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=456Y.6601.3394.6136199-V&numdoc=26669170000157,"",Compensando,                 16
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-12-27 00:00:00,2024-10-18 00:00:00,61861,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=190Z.0830.9301.3605399-Z&numdoc=26669170000157,"",Compensando,                 43
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-02-28 00:00:00,2024-10-18 00:00:00,65559,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=104R.7169.8127.1029299-T&numdoc=26669170000157,"",Compensando,                  4
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-09-30 00:00:00,2024-10-08 00:00:00,77234,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=172S.9383.9981.1413799-R&numdoc=26669170000157,"",Compensando,             17.282
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-09-30 00:00:00,2024-10-08 00:00:00,77292,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=689Q.0189.7917.9089099-E&numdoc=26669170000157,"",Compensando,                  2
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-09-30 00:00:00,2024-10-08 00:00:00,77695,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=175W.7897.7471.8349299-U&numdoc=28589883000136,"",Compensando,                 11
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-09-30 00:00:00,2024-10-08 00:00:00,77860,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=193Q.5931.4816.5212699-S&numdoc=28589883000136,"",Compensando,                 67
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-09-30 00:00:00,2024-10-08 00:00:00,77993,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=181Y.1834.3491.8561899-Q&numdoc=28581358000174,"",Compensando,                 58
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-08-29 00:00:00,2024-09-06 00:00:00,75391,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=189R.6017.3825.7074299-Y&numdoc=26669170000157,"",Compensando,                 16
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-08-29 00:00:00,2024-09-06 00:00:00,75868,Velocity Check,,"R$ 3989,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=717T.3829.0349.2325999-M&numdoc=26669170000157,"",Compensando,             14.550
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-08-29 00:00:00,2024-09-06 00:00:00,75631,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=706T.8749.7944.0262399-L&numdoc=28589883000136,"",Compensando,                 10
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-08-29 00:00:00,2024-09-06 00:00:00,75754,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=212Q.5691.6818.1948199-R&numdoc=28589883000136,"",Compensando,                 75
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-08-29 00:00:00,2024-09-06 00:00:00,76177,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=426Q.4274.5315.1608999-V&numdoc=28581358000174,"",Compensando,                 87
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-07-31 00:00:00,2024-08-08 00:00:00,74510,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=869Q.1300.1417.7335799-Y&numdoc=28589883000136,"",Compensando,                 78
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-07-31 00:00:00,2024-08-08 00:00:00,74668,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=100W.6914.8675.4109399-Z&numdoc=28581358000174,"",Compensando,                 61
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-07-30 00:00:00,2024-08-07 00:00:00,73626,Velocity Check,,"R$ 3826,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=104H.7661.8928.0112799-T&numdoc=26669170000157,"",Compensando,             14.560
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-07-30 00:00:00,2024-08-07 00:00:00,74188,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=126Z.9495.6402.0120599-V&numdoc=26669170000157,"",Compensando,                  1
